pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
AUD_USD,short,90909,0.7567,2021-06-28 14:00:00+00:00,0.7522885714285715,2021-06-29 10:00:00+00:00,tp,300.78,1.5,21,True
GBP_USD,short,52824,1.38058,2021-06-30 16:00:00+00:00,1.37911,2021-07-01 11:00:00+00:00,sl,143.38,0.69,20,True
EUR_USD,short,176438,1.18389,2021-07-02 07:00:00+00:00,1.183212142857143,2021-07-02 08:00:00+00:00,sl,138.82,0.88,2,True
EUR_USD,short,178947,1.1828,2021-07-02 09:00:00+00:00,1.1827,2021-07-02 10:00:00+00:00,sl,17.89,0.1,2,False
AUD_USD,short,87034,0.74718,2021-07-01 16:00:00+00:00,0.74708,2021-07-02 12:00:00+00:00,sl,8.7,0.04,21,False
EUR_USD,short,111679,1.18456,2021-07-06 09:00:00+00:00,1.18446,2021-07-06 10:00:00+00:00,sl,11.17,0.05,2,False
USD_CHF,long,122459,0.92339,2021-07-06 09:00:00+00:00,0.92349,2021-07-06 10:00:00+00:00,sl,13.26,0.06,2,False
GBP_USD,short,78672,1.38457,2021-07-06 10:00:00+00:00,1.3872842857142857,2021-07-06 12:00:00+00:00,sl,-213.54,-1.0,3,False
EUR_USD,short,96672,1.184,2021-07-06 11:00:00+00:00,1.1839,2021-07-06 14:00:00+00:00,sl,9.67,0.04,4,False
USD_CHF,long,109046,0.92291,2021-07-06 11:00:00+00:00,0.92301,2021-07-06 14:00:00+00:00,sl,11.81,0.05,4,False
AUD_USD,short,37970,0.75016,2021-07-06 15:00:00+00:00,0.7500600000000001,2021-07-07 18:00:00+00:00,sl,3.8,0.02,28,False
GBP_USD,short,109955,1.37738,2021-07-08 07:00:00+00:00,1.37785,2021-07-08 08:00:00+00:00,sl,-51.68,-0.24,2,False
USD_JPY,short,1896,110.166,2021-07-08 07:00:00+00:00,109.96421428571429,2021-07-08 09:00:00+00:00,sl,3.71,0.94,3,True
EUR_USD,short,109450,1.1853,2021-07-12 10:00:00+00:00,1.1852,2021-07-12 12:00:00+00:00,sl,10.94,0.05,3,False
AUD_USD,short,103977,0.74609,2021-07-12 10:00:00+00:00,0.74599,2021-07-12 12:00:00+00:00,sl,10.4,0.05,3,False
AUD_USD,short,67220,0.74599,2021-07-13 14:00:00+00:00,0.74589,2021-07-14 02:00:00+00:00,sl,6.72,0.03,13,False
GBP_USD,long,139011,1.38462,2021-07-14 07:00:00+00:00,1.38466,2021-07-14 09:00:00+00:00,sl,5.56,0.03,3,False
USD_JPY,short,1893,110.182,2021-07-14 13:00:00+00:00,109.96985714285715,2021-07-15 02:00:00+00:00,sl,3.41,1.08,14,True
GBP_USD,long,47430,1.38721,2021-07-15 12:00:00+00:00,1.3827885714285715,2021-07-15 16:00:00+00:00,sl,-209.71,-1.0,5,False
EUR_USD,short,99379,1.18098,2021-07-15 12:00:00+00:00,1.18088,2021-07-15 19:00:00+00:00,sl,9.94,0.05,8,False
GBP_USD,short,127937,1.37313,2021-07-23 09:00:00+00:00,1.37356,2021-07-23 12:00:00+00:00,sl,-55.01,-0.26,4,False
USD_CHF,long,72416,0.9198,2021-07-22 16:00:00+00:00,0.9198999999999999,2021-07-23 13:00:00+00:00,sl,7.87,0.04,22,False
AUD_USD,short,107240,0.73503,2021-07-27 09:00:00+00:00,0.7369957142857142,2021-07-27 12:00:00+00:00,sl,-210.8,-1.0,4,False
GBP_USD,long,64368,1.38239,2021-07-27 13:00:00+00:00,1.388687142857143,2021-07-27 15:00:00+00:00,tp,304.0,1.5,3,True
USD_CHF,short,96013,0.91422,2021-07-27 13:00:00+00:00,0.91412,2021-07-27 18:00:00+00:00,sl,10.5,0.05,6,False
EUR_USD,long,90700,1.18132,2021-07-27 14:00:00+00:00,1.1821239285714287,2021-07-27 19:00:00+00:00,sl,139.99,0.68,6,True
GBP_USD,long,130394,1.39764,2021-07-30 09:00:00+00:00,1.3959567857142856,2021-07-30 11:00:00+00:00,sl,-219.48,-1.0,3,False
USD_JPY,short,1869,109.234,2021-08-02 16:00:00+00:00,109.22399999999999,2021-08-03 05:00:00+00:00,sl,0.17,0.05,14,False
AUD_USD,long,102121,0.73743,2021-08-02 15:00:00+00:00,0.7392464285714286,2021-08-03 06:00:00+00:00,sl,196.25,0.95,16,True
GBP_USD,long,122453,1.39326,2021-08-03 12:00:00+00:00,1.3914664285714284,2021-08-03 13:00:00+00:00,sl,-219.63,-1.0,2,False
