pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
AUD_USD,short,90909,0.75665,2021-06-28 14:00:00+00:00,0.7522885714285715,2021-06-29 10:00:00+00:00,tp,296.23,1.48,21,True
USD_JPY,long,99464,111.09349999999999,2021-06-30 17:00:00+00:00,111.55957142857143,2021-07-01 10:00:00+00:00,tp,310.87,1.48,18,True
EUR_USD,short,111653,1.18452,2021-07-06 09:00:00+00:00,1.18446,2021-07-06 10:00:00+00:00,sl,6.7,0.03,2,False
USD_CHF,long,122441,0.9234650000000001,2021-07-06 09:00:00+00:00,0.92349,2021-07-06 10:00:00+00:00,sl,3.31,0.02,2,False
GBP_USD,short,78620,1.3845100000000001,2021-07-06 10:00:00+00:00,1.3872842857142857,2021-07-06 12:00:00+00:00,sl,-218.11,-1.02,3,False
EUR_USD,short,96519,1.18396,2021-07-06 11:00:00+00:00,1.1839,2021-07-06 14:00:00+00:00,sl,5.79,0.03,4,False
USD_CHF,long,108882,0.922985,2021-07-06 11:00:00+00:00,0.92301,2021-07-06 14:00:00+00:00,sl,2.95,0.01,4,False
AUD_USD,short,37846,0.75011,2021-07-06 15:00:00+00:00,0.7500600000000001,2021-07-07 18:00:00+00:00,sl,1.89,0.01,28,False
EUR_USD,short,94633,1.18376,2021-07-12 12:00:00+00:00,1.1860314285714286,2021-07-12 13:00:00+00:00,sl,-214.95,-1.02,2,False
AUD_USD,short,65772,0.74594,2021-07-13 14:00:00+00:00,0.74589,2021-07-14 02:00:00+00:00,sl,3.29,0.02,13,False
GBP_USD,long,61805,1.3886,2021-07-14 13:00:00+00:00,1.3851400000000003,2021-07-14 15:00:00+00:00,sl,-213.85,-1.02,3,False
USD_JPY,short,124843,110.17750000000001,2021-07-14 13:00:00+00:00,109.97435714285714,2021-07-15 02:00:00+00:00,sl,217.09,1.04,14,True
EUR_USD,short,88706,1.18062,2021-07-15 13:00:00+00:00,1.18056,2021-07-16 12:00:00+00:00,sl,5.32,0.03,24,False
USD_JPY,short,112063,109.7955,2021-07-19 10:00:00+00:00,109.38742857142857,2021-07-19 13:00:00+00:00,tp,312.19,1.48,4,True
AUD_USD,short,175312,0.734,2021-07-26 07:00:00+00:00,0.7353378571428572,2021-07-26 07:00:00+00:00,sl,-234.54,-1.04,1,False
AUD_USD,short,102841,0.73424,2021-07-28 11:00:00+00:00,0.73419,2021-07-28 13:00:00+00:00,sl,5.14,0.02,3,False
AUD_USD,long,97993,0.73952,2021-08-03 06:00:00+00:00,0.73731,2021-08-03 13:00:00+00:00,sl,-216.56,-1.02,8,False
GBP_USD,short,77482,1.38162,2021-08-12 17:00:00+00:00,1.38158,2021-08-12 20:00:00+00:00,sl,3.1,0.01,4,False
AUD_USD,short,118503,0.73407,2021-08-12 14:00:00+00:00,0.73402,2021-08-12 21:00:00+00:00,sl,5.93,0.03,8,False
EUR_USD,short,126022,1.17679,2021-08-16 12:00:00+00:00,1.17848,2021-08-16 13:00:00+00:00,sl,-212.98,-1.02,2,False
AUD_USD,short,134423,0.73347,2021-08-16 06:00:00+00:00,0.73342,2021-08-16 13:00:00+00:00,sl,6.72,0.03,8,False
USD_JPY,short,86588,109.5995,2021-08-19 09:00:00+00:00,109.85614285714286,2021-08-20 00:00:00+00:00,sl,-202.28,-1.02,16,False
